date,team,opponent,goals_for,goals_against,result,competition
2024-10-24,Morocco,South Korea,1,1,D,World Cup Qualifier
2024-10-25,Senegal,Canada,1,1,D,International Friendly
2024-10-25,Haiti,Scotland,1,4,L,International Friendly
2024-10-25,South Africa,South Korea,1,0,W,Continental Championship
2024-10-26,Iran,Belgium,1,0,W,World Cup Qualifier
2024-10-26,Germany,Uzbekistan,3,1,W,International Friendly
2024-10-26,Portugal,DR Congo,1,2,W,International Friendly
2024-10-26,Morocco,Senegal,0,1,L,International Friendly
2024-10-27,Qatar,Sweden,1,1,D,World Cup Qualifier
2024-10-28,Netherlands,Norway,1,1,L,International Friendly
2024-10-28,Mexico,Ghana,1,3,L,International Friendly
2024-10-28,Austria,South Africa,1,2,W,World Cup Qualifier
2024-10-28,France,Jordan,3,1,W,International Friendly
2024-10-28,France,DR Congo,2,1,W,World Cup Qualifier
2024-10-28,Mexico,Scotland,2,0,W,Continental Championship
2024-10-29,Netherlands,Norway,1,0,W,International Friendly
2024-10-29,Norway,France,1,0,W,World Cup Qualifier
2024-10-29,Czech Republic,Switzerland,2,1,W,International Friendly
2024-10-29,Ivory Coast,Norway,2,1,L,Continental Championship
2024-10-29,Spain,Japan,0,3,L,International Friendly
2024-10-30,Saudi Arabia,Argentina,0,3,L,Continental Championship
2024-10-30,Portugal,Uzbekistan,1,1,D,Continental Championship
2024-10-30,Qatar,Ivory Coast,1,1,L,Continental Championship
2024-10-30,Iran,Croatia,2,1,L,International Friendly
2024-10-31,Morocco,Senegal,1,1,D,Continental Championship
2024-10-31,Czech Republic,Scotland,1,0,W,World Cup Qualifier
2024-10-31,Switzerland,Sweden,2,0,W,Continental Championship
2024-10-31,England,Belgium,1,1,D,Continental Championship
2024-11-01,Portugal,Ecuador,0,1,L,International Friendly
2024-11-01,Sweden,Cape Verde,1,0,W,World Cup Qualifier
2024-11-03,Uruguay,Algeria,1,0,W,Continental Championship
2024-11-03,Cape Verde,Portugal,1,3,L,Continental Championship
2024-11-03,Haiti,South Korea,3,0,W,World Cup Qualifier
2024-11-04,Morocco,Netherlands,2,3,L,Continental Championship
2024-11-04,Türkiye,Sweden,1,1,W,World Cup Qualifier
2024-11-04,Paraguay,Austria,2,2,D,International Friendly
2024-11-04,Brazil,Ivory Coast,1,1,D,World Cup Qualifier
2024-11-04,Brazil,Tunisia,2,2,D,World Cup Qualifier
2024-11-05,Austria,Curaçao,1,0,W,International Friendly
2024-11-05,England,United States,2,0,W,Continental Championship
2024-11-06,Australia,Netherlands,1,1,W,Continental Championship
2024-11-06,Germany,Colombia,1,1,W,International Friendly
2024-11-06,Austria,Tunisia,1,3,L,International Friendly
2024-11-06,Uruguay,Austria,2,2,D,Continental Championship
2024-11-07,Cape Verde,Mexico,2,0,W,Continental Championship
2024-11-08,Iraq,Panama,1,0,W,Continental Championship
2024-11-09,Tunisia,Uzbekistan,0,3,L,Continental Championship
2024-11-09,Bosnia and Herzegovina,Ghana,1,1,L,Continental Championship
2024-11-09,Paraguay,Bosnia and Herzegovina,1,0,W,International Friendly
2024-11-09,New Zealand,Portugal,1,1,D,Continental Championship
2024-11-10,Jordan,Czech Republic,2,1,W,International Friendly
2024-11-10,Canada,Morocco,0,0,D,World Cup Qualifier
2024-11-10,Iraq,Ghana,0,1,L,International Friendly
2024-11-10,Ecuador,Germany,3,3,D,Continental Championship
2024-11-10,United States,Argentina,0,3,L,Continental Championship
2024-11-10,Cape Verde,Ivory Coast,0,2,L,International Friendly
2024-11-11,Tunisia,Brazil,1,0,W,Continental Championship
2024-11-12,Egypt,Canada,3,0,W,International Friendly
2024-11-12,Croatia,Senegal,1,1,W,World Cup Qualifier
2024-11-12,Brazil,Colombia,0,2,L,World Cup Qualifier
2024-11-12,Germany,Iran,1,3,L,Continental Championship
2024-11-12,Ecuador,England,1,3,L,World Cup Qualifier
2024-11-13,Switzerland,Scotland,2,2,L,World Cup Qualifier
2024-11-13,Morocco,Panama,3,1,W,Continental Championship
2024-11-13,Scotland,Uruguay,0,3,L,Continental Championship
2024-11-13,Portugal,England,3,1,W,International Friendly
2024-11-14,Canada,Saudi Arabia,1,1,D,Continental Championship
2024-11-14,Jordan,Morocco,0,0,D,International Friendly
2024-11-14,Sweden,Croatia,0,2,L,Continental Championship
2024-11-14,Spain,Jordan,2,2,D,Continental Championship
2024-11-15,Türkiye,Belgium,1,1,D,International Friendly
2024-11-15,Haiti,Türkiye,1,0,W,International Friendly
2024-11-15,Iran,Mexico,1,0,W,International Friendly
2024-11-15,Saudi Arabia,Portugal,1,1,D,International Friendly
2024-11-15,Morocco,Argentina,0,0,D,Continental Championship
2024-11-15,Croatia,South Korea,0,2,L,International Friendly
2024-11-15,Tunisia,Uruguay,0,1,L,Continental Championship
2024-11-16,DR Congo,Switzerland,1,2,L,Continental Championship
2024-11-16,Mexico,Jordan,1,1,D,World Cup Qualifier
2024-11-16,Iraq,Uzbekistan,3,3,D,International Friendly
2024-11-16,Czech Republic,France,0,0,D,World Cup Qualifier
2024-11-16,Curaçao,Türkiye,3,1,W,International Friendly
2024-11-16,Panama,Japan,1,0,W,International Friendly
2024-11-17,Tunisia,Sweden,3,0,W,World Cup Qualifier
2024-11-17,Uzbekistan,Curaçao,3,0,W,Continental Championship
2024-11-17,Algeria,Scotland,2,2,D,World Cup Qualifier
2024-11-18,Japan,Uruguay,0,1,L,International Friendly
2024-11-18,Ecuador,Canada,1,1,W,International Friendly
2024-11-18,Algeria,Colombia,0,3,L,Continental Championship
2024-11-19,Ecuador,United States,0,0,D,Continental Championship
2024-11-19,Ecuador,Haiti,1,0,W,World Cup Qualifier
2024-11-19,New Zealand,Haiti,1,0,W,International Friendly
2024-11-19,Jordan,Senegal,1,0,W,World Cup Qualifier
2024-11-19,Egypt,Algeria,1,1,D,International Friendly
2024-11-20,Curaçao,Bosnia and Herzegovina,1,2,W,World Cup Qualifier
2024-11-20,Brazil,Czech Republic,1,0,W,Continental Championship
2024-11-21,Spain,Scotland,3,0,W,World Cup Qualifier
2024-11-21,Belgium,France,0,0,D,International Friendly
2024-11-21,Uzbekistan,DR Congo,0,1,L,World Cup Qualifier
2024-11-21,Uzbekistan,Argentina,1,1,D,Continental Championship
2024-11-22,South Africa,Uzbekistan,1,1,L,World Cup Qualifier
2024-11-23,South Africa,Paraguay,1,1,D,World Cup Qualifier
2024-11-23,Saudi Arabia,Canada,1,1,D,Continental Championship
2024-11-23,Paraguay,South Africa,2,2,D,Continental Championship
2024-11-24,Saudi Arabia,Sweden,2,0,W,Continental Championship
2024-11-24,Ecuador,Türkiye,2,2,W,Continental Championship
2024-11-25,Mexico,Spain,1,1,D,Continental Championship
2024-11-25,Norway,New Zealand,1,1,D,International Friendly
2024-11-26,Mexico,Jordan,2,0,W,Continental Championship
2024-11-26,Australia,Canada,0,0,D,World Cup Qualifier
2024-11-27,Curaçao,Panama,0,0,D,Continental Championship
2024-11-28,Panama,Iraq,1,1,W,World Cup Qualifier
2024-11-28,Austria,Paraguay,2,2,W,Continental Championship
2024-11-28,Ivory Coast,Netherlands,1,1,D,Continental Championship
2024-11-29,Haiti,Japan,3,0,W,Continental Championship
2024-11-29,Iran,Spain,1,1,L,Continental Championship
2024-11-29,Netherlands,Cape Verde,1,1,W,International Friendly
2024-11-30,Austria,Saudi Arabia,1,1,D,World Cup Qualifier
2024-11-30,Qatar,Algeria,1,2,W,World Cup Qualifier
2024-11-30,Saudi Arabia,Panama,1,1,D,Continental Championship
2024-11-30,Australia,France,1,4,L,Continental Championship
2024-11-30,Algeria,United States,0,1,L,International Friendly
2024-11-30,Paraguay,Morocco,3,0,W,Continental Championship
2024-12-01,Panama,Qatar,1,1,L,World Cup Qualifier
2024-12-01,Panama,Uzbekistan,0,2,L,World Cup Qualifier
2024-12-02,Uzbekistan,DR Congo,1,2,L,International Friendly
2024-12-02,Ivory Coast,Spain,3,1,W,Continental Championship
2024-12-03,Ivory Coast,England,0,0,D,World Cup Qualifier
2024-12-03,Qatar,Australia,1,2,L,International Friendly
2024-12-03,Bosnia and Herzegovina,Türkiye,1,2,L,World Cup Qualifier
2024-12-03,Austria,Bosnia and Herzegovina,0,0,D,International Friendly
2024-12-04,Czech Republic,Argentina,2,2,D,World Cup Qualifier
2024-12-04,France,Iraq,2,0,W,Continental Championship
2024-12-04,United States,Uzbekistan,0,0,D,Continental Championship
2024-12-04,Ivory Coast,England,0,1,L,World Cup Qualifier
2024-12-05,Spain,Mexico,1,2,L,International Friendly
2024-12-05,Austria,Croatia,1,1,W,International Friendly
2024-12-05,Algeria,England,1,3,L,Continental Championship
2024-12-06,Mexico,Panama,2,1,W,International Friendly
2024-12-07,South Africa,Colombia,0,1,L,International Friendly
2024-12-07,Ivory Coast,France,0,3,L,Continental Championship
2024-12-08,Paraguay,South Korea,1,2,L,International Friendly
2024-12-09,Austria,Brazil,3,1,W,Continental Championship
2024-12-09,Jordan,Bosnia and Herzegovina,0,1,L,World Cup Qualifier
2024-12-10,Uruguay,Argentina,2,1,W,World Cup Qualifier
2024-12-10,Scotland,Uruguay,2,2,L,Continental Championship
2024-12-11,Panama,Brazil,1,1,W,Continental Championship
2024-12-11,Argentina,Brazil,2,1,W,International Friendly
2024-12-11,Algeria,Jordan,1,1,D,Continental Championship
2024-12-13,Türkiye,Japan,0,0,D,World Cup Qualifier
2024-12-13,Spain,South Africa,1,1,D,International Friendly
2024-12-15,Mexico,Norway,2,0,W,World Cup Qualifier
2024-12-15,Uruguay,South Korea,1,0,W,World Cup Qualifier
2024-12-15,Sweden,Argentina,1,1,W,World Cup Qualifier
2024-12-15,Morocco,Uzbekistan,2,2,D,Continental Championship
2024-12-15,England,Haiti,2,2,D,Continental Championship
2024-12-16,Paraguay,Morocco,2,0,W,Continental Championship
2024-12-16,Croatia,Jordan,1,1,D,Continental Championship
2024-12-16,Iraq,Colombia,2,2,D,International Friendly
2024-12-16,Cape Verde,Croatia,0,1,L,Continental Championship
2024-12-17,Brazil,Switzerland,2,0,W,World Cup Qualifier
2024-12-17,Colombia,Norway,0,2,L,Continental Championship
2024-12-17,Japan,Morocco,1,1,D,Continental Championship
2024-12-17,Paraguay,England,0,1,L,International Friendly
2024-12-17,South Africa,Morocco,1,1,D,World Cup Qualifier
2024-12-18,Iran,Egypt,1,1,D,International Friendly
2024-12-18,Iraq,Qatar,1,0,W,International Friendly
2024-12-18,Morocco,Qatar,3,0,W,Continental Championship
2024-12-18,Portugal,Egypt,2,2,L,International Friendly
2024-12-18,Scotland,Iran,2,1,W,World Cup Qualifier
2024-12-18,Jordan,Portugal,0,0,D,World Cup Qualifier
2024-12-19,Mexico,France,2,2,L,World Cup Qualifier
2024-12-19,Scotland,Germany,0,1,L,Continental Championship
2024-12-19,Senegal,Australia,2,0,W,Continental Championship
2024-12-19,Sweden,Jordan,0,2,L,Continental Championship
2024-12-19,Haiti,Saudi Arabia,1,1,D,World Cup Qualifier
2024-12-20,South Africa,Colombia,0,0,D,World Cup Qualifier
2024-12-20,Japan,Brazil,2,2,L,World Cup Qualifier
2024-12-20,Paraguay,Switzerland,1,2,L,World Cup Qualifier
2024-12-20,Panama,Czech Republic,2,4,L,International Friendly
2024-12-20,Bosnia and Herzegovina,Austria,0,4,L,Continental Championship
2024-12-21,Czech Republic,Germany,1,2,W,Continental Championship
2024-12-22,Brazil,Argentina,3,2,W,World Cup Qualifier
2024-12-22,DR Congo,Paraguay,3,0,W,International Friendly
2024-12-23,Switzerland,Ecuador,3,0,W,World Cup Qualifier
2024-12-23,South Korea,Tunisia,0,2,L,International Friendly
2024-12-23,Iraq,Saudi Arabia,1,0,W,World Cup Qualifier
2024-12-23,Jordan,Germany,1,2,L,International Friendly
2024-12-23,Panama,Scotland,0,2,L,Continental Championship
2024-12-23,Sweden,Uruguay,3,0,W,World Cup Qualifier
2024-12-23,Japan,Uruguay,4,0,W,International Friendly
2024-12-24,Colombia,Saudi Arabia,1,1,W,Continental Championship
2024-12-25,Ghana,Algeria,1,2,W,International Friendly
2024-12-25,Ecuador,Cape Verde,2,2,L,World Cup Qualifier
2024-12-25,Saudi Arabia,France,1,1,W,Continental Championship
2024-12-25,Cape Verde,Egypt,2,1,L,Continental Championship
2024-12-26,Colombia,Panama,1,1,W,Continental Championship
2024-12-26,Ghana,Saudi Arabia,1,2,L,Continental Championship
2024-12-26,Curaçao,England,0,0,D,Continental Championship
2024-12-26,Germany,Ghana,0,0,D,Continental Championship
2024-12-27,Uzbekistan,Cape Verde,1,1,L,Continental Championship
2024-12-27,DR Congo,Japan,0,1,L,Continental Championship
2024-12-27,Germany,Spain,2,1,W,Continental Championship
2024-12-28,Bosnia and Herzegovina,Türkiye,1,1,D,Continental Championship
2024-12-28,Algeria,Scotland,1,1,W,Continental Championship
2024-12-28,Iran,Curaçao,1,1,D,International Friendly
2024-12-29,Ivory Coast,Ecuador,2,1,L,World Cup Qualifier
2024-12-29,Norway,DR Congo,3,1,W,World Cup Qualifier
2024-12-30,Paraguay,Croatia,2,4,L,World Cup Qualifier
2024-12-30,Austria,Iran,0,1,L,Continental Championship
2024-12-30,Croatia,Curaçao,0,0,D,Continental Championship
2024-12-30,Colombia,Norway,1,1,W,Continental Championship
2024-12-30,Czech Republic,Japan,1,2,L,International Friendly
2024-12-31,Curaçao,Saudi Arabia,3,3,D,International Friendly
2024-12-31,Canada,Haiti,1,0,W,World Cup Qualifier
2024-12-31,Uzbekistan,Türkiye,1,0,W,International Friendly
2025-01-01,Senegal,Panama,2,0,W,International Friendly
2025-01-01,Panama,Switzerland,2,2,D,World Cup Qualifier
2025-01-01,Qatar,New Zealand,1,1,D,International Friendly
2025-01-01,Belgium,France,2,2,W,International Friendly
2025-01-02,South Korea,Austria,1,1,D,Continental Championship
2025-01-03,Czech Republic,Sweden,0,3,L,World Cup Qualifier
2025-01-03,Iran,Paraguay,1,1,D,Continental Championship
2025-01-03,Iran,Algeria,1,1,W,International Friendly
2025-01-04,Colombia,Bosnia and Herzegovina,1,1,W,Continental Championship
2025-01-04,Netherlands,Croatia,3,1,W,World Cup Qualifier
2025-01-04,Ivory Coast,Saudi Arabia,2,1,W,Continental Championship
2025-01-05,Croatia,South Africa,0,0,D,International Friendly
2025-01-05,United States,DR Congo,1,1,D,International Friendly
2025-01-05,New Zealand,Iraq,1,1,D,World Cup Qualifier
2025-01-05,Uruguay,Iraq,0,1,L,World Cup Qualifier
2025-01-06,Jordan,Morocco,1,1,W,Continental Championship
2025-01-06,France,Canada,1,1,W,International Friendly
2025-01-06,Cape Verde,Scotland,2,2,D,World Cup Qualifier
2025-01-08,Senegal,Saudi Arabia,0,0,D,International Friendly
2025-01-08,Croatia,Argentina,2,2,D,World Cup Qualifier
2025-01-09,Scotland,Switzerland,2,0,W,World Cup Qualifier
2025-01-09,Iran,Ecuador,1,1,W,World Cup Qualifier
2025-01-10,Mexico,Iran,0,0,D,Continental Championship
2025-01-10,Germany,Iran,2,0,W,International Friendly
2025-01-11,Netherlands,Australia,2,2,W,Continental Championship
2025-01-11,Tunisia,Senegal,1,1,W,Continental Championship
2025-01-11,Paraguay,South Africa,2,2,W,International Friendly
2025-01-11,Iran,Norway,0,3,L,World Cup Qualifier
2025-01-11,Canada,Uruguay,1,0,W,World Cup Qualifier
2025-01-12,Morocco,DR Congo,0,2,L,International Friendly
2025-01-12,New Zealand,Egypt,2,0,W,World Cup Qualifier
2025-01-13,New Zealand,South Africa,2,1,L,International Friendly
2025-01-13,Germany,United States,0,0,D,International Friendly
2025-01-13,Egypt,Uruguay,4,1,W,World Cup Qualifier
2025-01-13,Iraq,DR Congo,3,0,W,Continental Championship
2025-01-14,Tunisia,Colombia,1,1,D,International Friendly
2025-01-14,Czech Republic,New Zealand,0,2,L,International Friendly
2025-01-14,Iran,Mexico,0,1,L,International Friendly
2025-01-14,Senegal,Japan,1,1,L,World Cup Qualifier
2025-01-15,Australia,Jordan,0,0,D,World Cup Qualifier
2025-01-15,Colombia,Canada,0,0,D,Continental Championship
2025-01-15,South Africa,Egypt,1,1,D,World Cup Qualifier
2025-01-15,Panama,Portugal,1,1,W,World Cup Qualifier
2025-01-15,Spain,Australia,2,0,W,World Cup Qualifier
2025-01-15,Scotland,Senegal,2,1,W,International Friendly
2025-01-17,Paraguay,Argentina,1,1,W,World Cup Qualifier
2025-01-17,Netherlands,Uruguay,2,1,W,World Cup Qualifier
2025-01-17,Australia,Algeria,0,2,L,Continental Championship
2025-01-18,Ecuador,Uzbekistan,2,3,L,Continental Championship
2025-01-18,England,South Africa,2,1,W,Continental Championship
2025-01-20,Uruguay,Czech Republic,1,1,L,International Friendly
2025-01-21,Cape Verde,Tunisia,1,0,W,Continental Championship
2025-01-22,Tunisia,Ghana,2,0,W,World Cup Qualifier
2025-01-22,Spain,Haiti,1,1,D,World Cup Qualifier
2025-01-22,Germany,Croatia,1,1,D,World Cup Qualifier
2025-01-23,Belgium,Switzerland,1,2,L,World Cup Qualifier
2025-01-24,Paraguay,South Korea,1,1,W,Continental Championship
2025-01-24,South Africa,Scotland,3,2,W,International Friendly
2025-01-24,South Africa,Tunisia,0,0,D,International Friendly
2025-01-25,Belgium,New Zealand,3,0,W,International Friendly
2025-01-25,Senegal,Austria,3,0,W,International Friendly
2025-01-25,Curaçao,Haiti,0,1,L,International Friendly
2025-01-25,Panama,Qatar,2,2,L,International Friendly
2025-01-25,Spain,Colombia,1,0,W,World Cup Qualifier
2025-01-25,Scotland,Ecuador,1,1,D,International Friendly
2025-01-25,Cape Verde,Haiti,0,2,L,International Friendly
2025-01-26,Portugal,Iraq,0,3,L,Continental Championship
2025-01-26,Cape Verde,Haiti,3,2,W,Continental Championship
2025-01-27,DR Congo,Saudi Arabia,2,2,D,Continental Championship
2025-01-27,Curaçao,Canada,2,1,W,Continental Championship
2025-01-27,England,Ivory Coast,0,1,L,World Cup Qualifier
2025-01-28,Netherlands,Panama,1,1,D,Continental Championship
2025-01-29,Czech Republic,Netherlands,0,3,L,International Friendly
2025-01-29,Spain,Türkiye,0,1,L,World Cup Qualifier
2025-01-30,Uzbekistan,Senegal,1,2,W,Continental Championship
2025-02-01,Uzbekistan,Croatia,2,1,L,International Friendly
2025-02-01,Uzbekistan,Ivory Coast,0,0,D,International Friendly
2025-02-01,Austria,Türkiye,2,0,W,World Cup Qualifier
2025-02-01,Qatar,Austria,0,2,L,World Cup Qualifier
2025-02-01,United States,Iran,2,2,D,Continental Championship
2025-02-01,Panama,Uruguay,0,0,D,Continental Championship
2025-02-02,Saudi Arabia,Colombia,1,2,L,World Cup Qualifier
2025-02-02,Iran,Sweden,0,2,L,Continental Championship
2025-02-02,Belgium,Brazil,0,1,L,World Cup Qualifier
2025-02-02,Canada,Japan,2,0,W,Continental Championship
2025-02-02,DR Congo,Colombia,0,3,L,International Friendly
2025-02-03,France,United States,1,1,D,World Cup Qualifier
2025-02-03,Ivory Coast,Paraguay,3,1,W,Continental Championship
2025-02-03,New Zealand,Colombia,0,4,L,Continental Championship
2025-02-04,Senegal,Sweden,1,1,D,World Cup Qualifier
2025-02-05,Curaçao,Ghana,1,1,D,Continental Championship
2025-02-05,Switzerland,Iran,2,0,W,World Cup Qualifier
2025-02-05,Ghana,Morocco,1,0,W,World Cup Qualifier
2025-02-05,Jordan,Morocco,3,1,W,International Friendly
2025-02-05,Croatia,Czech Republic,3,0,W,Continental Championship
2025-02-05,Sweden,Ivory Coast,1,1,W,Continental Championship
2025-02-05,Colombia,United States,1,2,W,World Cup Qualifier
2025-02-06,Canada,Switzerland,1,2,L,Continental Championship
2025-02-06,Ghana,New Zealand,2,2,D,World Cup Qualifier
2025-02-06,England,Cape Verde,1,2,W,International Friendly
2025-02-06,Australia,England,1,0,W,World Cup Qualifier
2025-02-07,Haiti,Mexico,3,1,W,International Friendly
2025-02-07,Curaçao,Portugal,1,1,D,Continental Championship
2025-02-07,Ivory Coast,Qatar,2,3,L,World Cup Qualifier
2025-02-08,Algeria,Morocco,2,2,D,Continental Championship
2025-02-08,Brazil,Croatia,2,2,L,World Cup Qualifier
2025-02-08,Colombia,South Korea,0,1,L,International Friendly
2025-02-08,Senegal,Paraguay,0,2,L,International Friendly
2025-02-08,Egypt,England,3,1,W,International Friendly
2025-02-08,Norway,Panama,1,1,D,International Friendly
2025-02-09,Norway,Australia,0,0,D,World Cup Qualifier
2025-02-09,Croatia,Canada,1,4,L,World Cup Qualifier
2025-02-09,Paraguay,Egypt,1,1,D,International Friendly
2025-02-09,Belgium,Germany,3,0,W,International Friendly
2025-02-09,England,Brazil,1,1,W,International Friendly
2025-02-09,Uzbekistan,Türkiye,1,1,D,World Cup Qualifier
2025-02-09,New Zealand,Netherlands,1,1,D,World Cup Qualifier
2025-02-10,Morocco,Iraq,0,1,L,World Cup Qualifier
2025-02-10,Haiti,Qatar,2,2,L,World Cup Qualifier
2025-02-10,Argentina,Portugal,2,0,W,World Cup Qualifier
2025-02-11,Paraguay,Uruguay,0,2,L,Continental Championship
2025-02-12,Egypt,Croatia,2,2,D,Continental Championship
2025-02-12,Argentina,Iran,1,1,W,Continental Championship
2025-02-12,Czech Republic,South Africa,3,1,W,World Cup Qualifier
2025-02-12,Brazil,Bosnia and Herzegovina,0,1,L,World Cup Qualifier
2025-02-12,Egypt,Senegal,3,0,W,Continental Championship
2025-02-12,Ghana,DR Congo,1,1,W,World Cup Qualifier
2025-02-13,DR Congo,Argentina,0,2,L,International Friendly
2025-02-13,Curaçao,Panama,0,2,L,Continental Championship
2025-02-13,Colombia,Qatar,1,1,D,World Cup Qualifier
2025-02-14,Bosnia and Herzegovina,Türkiye,0,1,L,World Cup Qualifier
2025-02-14,Sweden,Egypt,3,1,W,Continental Championship
2025-02-14,South Korea,Tunisia,0,0,D,World Cup Qualifier
2025-02-15,Portugal,Paraguay,3,1,W,World Cup Qualifier
2025-02-15,Paraguay,Germany,0,2,L,Continental Championship
2025-02-16,New Zealand,Ghana,1,0,W,Continental Championship
2025-02-16,Germany,Haiti,2,1,W,Continental Championship
2025-02-16,Norway,New Zealand,3,0,W,Continental Championship
2025-02-17,United States,DR Congo,1,3,L,International Friendly
2025-02-17,Colombia,Argentina,1,2,W,World Cup Qualifier
2025-02-17,Uzbekistan,Ecuador,2,2,W,World Cup Qualifier
2025-02-17,Japan,Germany,1,2,L,Continental Championship
2025-02-18,Cape Verde,Czech Republic,3,1,W,World Cup Qualifier
2025-02-19,Paraguay,South Africa,1,1,W,International Friendly
2025-02-19,Czech Republic,Japan,2,0,W,World Cup Qualifier
2025-02-20,Germany,Norway,2,2,D,World Cup Qualifier
2025-02-20,Türkiye,Paraguay,2,1,W,International Friendly
2025-02-20,England,Iraq,1,1,D,World Cup Qualifier
2025-02-21,New Zealand,Brazil,0,2,L,Continental Championship
2025-02-22,Haiti,Germany,0,2,L,World Cup Qualifier
2025-02-22,Switzerland,Netherlands,3,0,W,International Friendly
2025-02-22,Scotland,Tunisia,2,3,L,Continental Championship
2025-02-22,Haiti,Tunisia,1,1,L,International Friendly
2025-02-22,Czech Republic,DR Congo,2,2,W,World Cup Qualifier
2025-02-22,England,Jordan,0,0,D,Continental Championship
2025-02-23,Czech Republic,Spain,0,1,L,World Cup Qualifier
2025-02-23,Scotland,Ecuador,1,1,D,International Friendly
2025-02-23,Switzerland,Curaçao,2,2,W,International Friendly
2025-02-23,Panama,New Zealand,2,2,W,Continental Championship
2025-02-23,Norway,Japan,2,0,W,International Friendly
2025-02-24,Senegal,Egypt,1,0,W,International Friendly
2025-02-24,Iraq,United States,1,2,L,World Cup Qualifier
2025-02-24,Türkiye,Canada,0,0,D,Continental Championship
2025-02-24,South Africa,South Korea,0,1,L,International Friendly
2025-02-25,Ivory Coast,Haiti,2,2,D,World Cup Qualifier
2025-02-25,Ivory Coast,France,1,2,L,International Friendly
2025-02-25,Bosnia and Herzegovina,Austria,2,1,L,World Cup Qualifier
2025-02-25,Uruguay,Uzbekistan,1,0,W,World Cup Qualifier
2025-02-26,Germany,Argentina,0,2,L,International Friendly
2025-02-26,Saudi Arabia,Türkiye,1,1,D,International Friendly
2025-02-26,Scotland,Canada,1,1,D,International Friendly
2025-02-26,Colombia,Spain,0,2,L,International Friendly
2025-02-27,Switzerland,Bosnia and Herzegovina,4,1,W,World Cup Qualifier
2025-02-27,Egypt,Japan,3,1,W,International Friendly
2025-02-27,Netherlands,Qatar,0,0,D,World Cup Qualifier
2025-02-27,France,United States,1,0,W,World Cup Qualifier
2025-02-28,Portugal,Scotland,1,1,D,International Friendly
2025-02-28,Uruguay,Norway,2,1,W,International Friendly
2025-03-01,Saudi Arabia,Haiti,0,0,D,World Cup Qualifier
2025-03-02,Czech Republic,South Korea,1,0,W,Continental Championship
2025-03-02,South Korea,Uruguay,0,1,L,International Friendly
2025-03-02,Mexico,Egypt,2,0,W,International Friendly
2025-03-03,Switzerland,Haiti,0,1,L,International Friendly
2025-03-03,Jordan,Qatar,1,1,D,International Friendly
2025-03-03,Uzbekistan,Egypt,2,0,W,Continental Championship
2025-03-04,Iran,Australia,2,0,W,World Cup Qualifier
2025-03-04,Senegal,Czech Republic,1,1,D,World Cup Qualifier
2025-03-05,Australia,Paraguay,2,0,W,World Cup Qualifier
2025-03-06,Senegal,Colombia,1,3,L,World Cup Qualifier
2025-03-06,England,Austria,0,4,L,World Cup Qualifier
2025-03-06,Netherlands,Australia,0,0,D,International Friendly
2025-03-07,New Zealand,Norway,1,1,W,International Friendly
2025-03-07,Germany,Scotland,0,2,L,World Cup Qualifier
2025-03-08,Croatia,Austria,2,1,W,World Cup Qualifier
2025-03-08,South Korea,United States,0,0,D,Continental Championship
2025-03-08,Curaçao,Panama,0,1,L,Continental Championship
2025-03-08,England,Belgium,3,0,W,International Friendly
2025-03-08,Tunisia,Egypt,0,2,L,World Cup Qualifier
2025-03-08,Ghana,Saudi Arabia,2,0,W,International Friendly
2025-03-09,Jordan,Brazil,0,0,D,International Friendly
2025-03-09,Canada,New Zealand,2,1,W,World Cup Qualifier
2025-03-09,South Korea,Portugal,1,1,W,Continental Championship
2025-03-10,South Africa,Austria,3,1,W,Continental Championship
2025-03-10,Bosnia and Herzegovina,Egypt,1,1,D,International Friendly
2025-03-10,Brazil,Ghana,4,0,W,Continental Championship
2025-03-10,Austria,Iran,1,1,D,International Friendly
2025-03-11,Cape Verde,United States,2,2,L,Continental Championship
2025-03-11,Brazil,New Zealand,1,1,D,Continental Championship
2025-03-11,Ecuador,Uruguay,2,2,W,World Cup Qualifier
2025-03-11,Sweden,Canada,2,2,W,Continental Championship
2025-03-12,Bosnia and Herzegovina,Paraguay,0,3,L,Continental Championship
2025-03-12,Curaçao,Czech Republic,0,3,L,World Cup Qualifier
2025-03-12,Belgium,Argentina,0,3,L,International Friendly
2025-03-12,France,Czech Republic,3,2,W,World Cup Qualifier
2025-03-13,France,Senegal,1,1,D,International Friendly
2025-03-13,Brazil,Iraq,4,1,W,International Friendly
2025-03-14,Iran,Uzbekistan,3,0,W,International Friendly
2025-03-15,Iran,Czech Republic,1,0,W,International Friendly
2025-03-15,Saudi Arabia,Ivory Coast,2,0,W,International Friendly
2025-03-15,Scotland,France,0,0,D,World Cup Qualifier
2025-03-16,Belgium,Haiti,1,1,D,Continental Championship
2025-03-17,Czech Republic,Jordan,4,0,W,Continental Championship
2025-03-17,Netherlands,Brazil,3,2,W,Continental Championship
2025-03-17,France,Croatia,2,2,D,World Cup Qualifier
2025-03-17,Saudi Arabia,Uzbekistan,2,1,W,Continental Championship
2025-03-18,Ivory Coast,Japan,2,1,L,International Friendly
2025-03-18,Colombia,Ivory Coast,2,0,W,World Cup Qualifier
2025-03-18,Mexico,Türkiye,1,0,W,International Friendly
2025-03-18,Argentina,Australia,1,1,W,International Friendly
2025-03-19,New Zealand,Scotland,1,2,L,World Cup Qualifier
